Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 Oakland                                    66    41     0   535   373   52.013
   2 Los Angeles(A)                             64    43     0   518   428   51.668
   3 Baltimore                                  60    47     0   451   422   51.119
   4 Toronto                                    60    50     0   512   468   50.977
   5 Detroit                                    58    47     0   491   453   50.857
   6 Seattle                                    56    52     0   414   361   50.592
   7 Los Angeles(N)                             62    47     0   455   395   50.544
   8 Washington                                 58    48     0   442   375   50.484
   9 Kansas City                                55    52     0   426   424   50.408
  10 New York(A)                                55    52     0   429   459   50.372
  11 St. Louis                                  57    50     0   393   391   50.312
  12 Milwaukee                                  60    49     0   471   442   50.312
  13 Tampa Bay                                  53    55     0   421   425   50.210
  14 Cleveland                                  53    55     0   479   475   50.146
  15 Pittsburgh                                 57    51     0   449   449   50.069
  16 San Francisco                              58    50     0   419   398   50.057
  17 Atlanta                                    58    51     0   415   395   49.998
  18 Chicago(A)                                 53    56     0   474   486   49.974
  19 Cincinnati                                 54    54     0   404   393   49.907
  20 New York(N)                                52    56     0   423   409   49.623
  21 Boston                                     48    60     0   412   467   49.586
  22 Miami                                      53    55     0   443   463   49.538
  23 Minnesota                                  48    59     0   435   480   49.476
  24 Houston                                    44    65     0   424   524   49.150
  25 Texas                                      43    65     0   437   554   48.946
  26 San Diego                                  48    60     0   340   372   48.890
  27 Philadelphia                               48    61     0   426   488   48.884
  28 Chicago(N)                                 45    62     0   412   458   48.740
  29 Arizona                                    48    61     0   437   506   48.713
  30 Colorado                                   44    64     0   506   560   48.510
