Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 New York(A)                                13     9     0   109    84  104.665
   2 Tampa Bay                                  12    10     0    87    86  103.980
   3 Baltimore                                  10    10     0   112   104  103.446
   4 New York(N)                                15     8     0    97    81  103.330
   5 Boston                                     12    10     0   113   119  103.179
   6 Toronto                                    11    12     0   122   115  102.842
   7 Detroit                                    15     8     0   108    98  102.370
   8 St. Louis                                  15     6     0    92    55  101.983
   9 Kansas City                                15     7     0   119    74  101.864
  10 Miami                                      10    12     0    97    87  101.355
  11 Atlanta                                    10    12     0    94   103  100.922
  12 Chicago(N)                                 12     8     0    89    77  100.653
  13 Washington                                 10    13     0   103   107  100.298
  14 Houston                                    15     7     0   103    75   99.986
  15 Minnesota                                  10    12     0    86   100   99.784
  16 Pittsburgh                                 12    10     0    89    71   99.653
  17 Los Angeles(N)                             13     8     0   100    77   99.308
  18 Chicago(A)                                  8    11     0    64    89   99.206
  19 Cincinnati                                 11    11     0    89    95   98.932
  20 Philadelphia                                8    15     0    63   109   98.841
  21 Cleveland                                   7    14     0    79    98   98.491
  22 San Diego                                  11    12     0   105   108   98.453
  23 Colorado                                   11    10     0    88   105   98.218
  24 Los Angeles(A)                             11    11     0    89    88   97.827
  25 Oakland                                     9    14     0   110    99   97.522
  26 Arizona                                    10    11     0    96    86   97.455
  27 Seattle                                    10    12     0    79    96   97.335
  28 San Francisco                               9    13     0    66    94   96.821
  29 Texas                                       7    14     0    75    96   95.595
  30 Milwaukee                                   5    17     0    71   118   95.376
