Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 BOSTON                                     97    44     0   767   543  101.931
   2 HOUSTON                                    87    53     0   695   460  101.669
   3 NEW YORK(A)                                87    53     0   720   575  101.216
   4 OAKLAND                                    84    57     0   676   585  101.159
   5 CHICAGO(N)                                 82    57     0   669   554  101.011
   6 LOS ANGELES(N)                             76    64     0   658   531  100.792
   7 COLORADO                                   77    62     0   655   663  100.736
   8 ARIZONA                                    75    64     0   607   522  100.691
   9 MILWAUKEE                                  79    62     0   639   603  100.683
  10 ATLANTA                                    76    63     0   659   564  100.659
  11 ST. LOUIS                                  78    62     0   649   573  100.620
  12 SEATTLE                                    78    62     0   580   627  100.554
  13 CLEVELAND                                  79    60     0   700   559  100.474
  14 TAMPA BAY                                  75    64     0   589   549  100.363
  15 PHILADELPHIA                               73    66     0   593   600  100.271
  16 SAN FRANCISCO                              68    73     0   549   599  100.069
  17 PITTSBURGH                                 69    71     0   602   605  100.036
  18 WASHINGTON                                 69    71     0   651   585   99.959
  19 LOS ANGELES(A)                             68    72     0   631   603   99.952
  20 NEW YORK(N)                                63    76     0   575   628   99.603
  21 TEXAS                                      61    79     0   671   740   99.349
  22 CINCINNATI                                 59    81     0   627   723   99.335
  23 TORONTO                                    63    76     0   620   717   99.189
  24 MINNESOTA                                  63    76     0   608   682   99.187
  25 SAN DIEGO                                  55    86     0   535   666   99.093
  26 MIAMI                                      56    84     0   521   710   99.004
  27 CHICAGO(A)                                 56    84     0   585   728   98.518
  28 DETROIT                                    57    83     0   550   666   98.441
  29 KANSAS CITY                                46    93     0   530   733   97.833
  30 BALTIMORE                                  41    99     0   544   762   97.580
